Date,PJM: Tie-Flows MISO imports 5Min(7732)-MW,PJM: InterTieFlow-NYIS(6096)-MW
2/15/2022 16:00,2764.67,-2356.67
2/15/2022 17:00,2757.33,-2469.25
2/15/2022 18:00,2873,-2521.25
2/15/2022 19:00,2645.67,-2241.83
2/15/2022 20:00,2307.08,-2234.83
2/15/2022 21:00,2340.92,-2008.92
2/15/2022 22:00,2115.75,-2003.58
2/15/2022 23:00,2220.58,-1776.58
2/16/2022 0:00,3268.08,-2249.17
2/16/2022 1:00,3861.92,-2056.08
2/16/2022 2:00,3920.83,-1963.58
2/16/2022 3:00,3647.5,-2013.67
2/16/2022 4:00,3295.42,-2047.75
2/16/2022 5:00,2887.92,-2246.83
2/16/2022 6:00,2736.92,-2353.67
2/16/2022 7:00,2431.75,-2477.17
2/16/2022 8:00,2685,-2365.67
2/16/2022 9:00,2427.17,-2289.58
2/16/2022 10:00,2723.5,-2194.17
2/16/2022 11:00,3286.17,-2218.42
2/16/2022 12:00,3409.33,-1889.83
2/16/2022 13:00,3634.92,-1843.83
2/16/2022 14:00,3675,-2089.17
2/16/2022 15:00,3804.17,-2014.83
2/16/2022 16:00,3608.08,-1875.92
2/16/2022 17:00,3367.33,-1808.58
2/16/2022 18:00,3713,-1688.42
2/16/2022 19:00,3165.58,-2001.17
2/16/2022 20:00,2962.33,-2008.67
2/16/2022 21:00,2894.33,-1828.17
2/16/2022 22:00,3125.92,-1883.42
2/16/2022 23:00,3326.17,-1868.33
2/17/2022 0:00,4647.58,-1165.75
2/17/2022 1:00,5220.92,-1241.5
2/17/2022 2:00,4932.08,-1271.75
2/17/2022 3:00,4807,-1223.17
2/17/2022 4:00,4876.5,-1266
2/17/2022 5:00,4610.08,-1195
2/17/2022 6:00,4652.25,-1277.92
2/17/2022 7:00,5311.92,-560.67
2/17/2022 8:00,5651.42,-997.75
2/17/2022 9:00,5689.42,-1345.17
2/17/2022 10:00,5781.42,-1411.67
2/17/2022 11:00,5652.58,-1557.42
2/17/2022 12:00,5881.17,-1564.92
2/17/2022 13:00,6111.58,-1717.83
2/17/2022 14:00,5959.75,-1599.5
2/17/2022 15:00,5733.83,-1523.42
2/17/2022 16:00,5647.58,-1584
2/17/2022 17:00,5545.75,-1567.58
2/17/2022 18:00,5553.79,-1470.79
2/17/2022 19:00,5523.17,-1349.58
2/17/2022 20:00,5202.58,-1423.33
2/17/2022 21:00,5207.75,-1360.92
2/17/2022 22:00,5361.25,-1084.67
2/17/2022 23:00,4388.17,-1433.5
2/18/2022 0:00,3840.25,-1992.33
2/18/2022 1:00,4339.17,-2062.67
2/18/2022 2:00,4332.67,-2003.67
2/18/2022 3:00,4206.5,-2049.5
2/18/2022 4:00,4488.75,-2105.5
2/18/2022 5:00,4709.58,-1718.92
2/18/2022 6:00,4678,-1789
2/18/2022 7:00,4913.83,-1651.67
2/18/2022 8:00,4571.08,-1808.25
2/18/2022 9:00,3929.75,-1808.17
2/18/2022 10:00,3726,-2148.42
2/18/2022 11:00,3954.17,-2096.58
2/18/2022 12:00,3560.33,-2002.75
2/18/2022 13:00,3428.92,-1730.08
2/18/2022 14:00,3390,-1913.67
2/18/2022 15:00,3440.5,-1940.75
2/18/2022 16:00,2875.25,-2042.08
2/18/2022 17:00,3283.92,-2057.33
2/18/2022 18:00,3415.83,-2043.25
2/18/2022 19:00,3594.42,-2248.17
2/18/2022 20:00,3542,-2170.83
2/18/2022 21:00,3349.17,-2291.17
2/18/2022 22:00,2969.75,-1932.25
2/18/2022 23:00,2741.5,-2034.83
2/19/2022 0:00,2507.92,-1928.83
2/19/2022 1:00,2248.5,-1882
2/19/2022 2:00,2405.75,-2074.08
2/19/2022 3:00,2699.33,-2009.42
2/19/2022 4:00,2900.17,-1909.17
2/19/2022 5:00,2446.25,-1779
2/19/2022 6:00,2480.33,-1802.08
2/19/2022 7:00,2267.17,-1926.58
2/19/2022 8:00,2227.08,-2432.83
2/19/2022 9:00,2245.67,-2581
2/19/2022 10:00,2300.33,-2268.92
2/19/2022 11:00,2758.92,-2199.08
2/19/2022 12:00,2437.25,-2258.58
2/19/2022 13:00,2455,-2335.5
2/19/2022 14:00,2201.42,-2077.92
2/19/2022 15:00,2222.67,-2021.67
2/19/2022 16:00,2345.17,-2005.42
2/19/2022 17:00,2521,-1872.08
2/19/2022 18:00,2686,-1973.75
2/19/2022 19:00,2559.33,-2121.08
2/19/2022 20:00,2593.83,-1886.33
